"","DRYER_natura_root_16S_1_NA","DRYER_natura_root_16S_10_NA","DRYER_natura_root_16S_11_NA","DRYER_natura_root_16S_12_NA","DRYER_natura_root_16S_13_NA","DRYER_natura_root_16S_14_NA","DRYER_natura_root_16S_15_NA","DRYER_natura_root_16S_16_NA","DRYER_natura_root_16S_17_NA","DRYER_natura_root_16S_18_NA","DRYER_natura_root_16S_19_NA","DRYER_natura_root_16S_2_NA","DRYER_natura_root_16S_20_NA","DRYER_natura_root_16S_21_NA","DRYER_natura_root_16S_22_NA","DRYER_natura_root_16S_23_NA","DRYER_natura_root_16S_24_NA","DRYER_natura_root_16S_25_NA","DRYER_natura_root_16S_26_NA","DRYER_natura_root_16S_27_NA","DRYER_natura_root_16S_28_NA","DRYER_natura_root_16S_29_NA","DRYER_natura_root_16S_3_NA","DRYER_natura_root_16S_30_NA","DRYER_natura_root_16S_31_NA","DRYER_natura_root_16S_32_NA","DRYER_natura_root_16S_33_NA","DRYER_natura_root_16S_34_NA","DRYER_natura_root_16S_35_NA","DRYER_natura_root_16S_36_NA","DRYER_natura_root_16S_4_NA","DRYER_natura_root_16S_42_NA","DRYER_natura_root_16S_43_NA","DRYER_natura_root_16S_44_NA","DRYER_natura_root_16S_45_NA","DRYER_natura_root_16S_47_NA","DRYER_natura_root_16S_49_NA","DRYER_natura_root_16S_5_NA","DRYER_natura_root_16S_50_NA","DRYER_natura_root_16S_51_NA","DRYER_natura_root_16S_52_NA","DRYER_natura_root_16S_53_NA","DRYER_natura_root_16S_54_NA","DRYER_natura_root_16S_55_NA","DRYER_natura_root_16S_56_NA","DRYER_natura_root_16S_57_NA","DRYER_natura_root_16S_58_NA","DRYER_natura_root_16S_59_NA","DRYER_natura_root_16S_6_NA","DRYER_natura_root_16S_60_NA","DRYER_natura_root_16S_63_NA","DRYER_natura_root_16S_64_NA","DRYER_natura_root_16S_65_NA","DRYER_natura_root_16S_66_NA","DRYER_natura_root_16S_67_NA","DRYER_natura_root_16S_68_NA","DRYER_natura_root_16S_69_NA","DRYER_natura_root_16S_7_NA","DRYER_natura_root_16S_70_NA","DRYER_natura_root_16S_71_NA","DRYER_natura_root_16S_72_NA","DRYER_natura_root_16S_8_NA","DRYER_natura_root_16S_9_NA"
"M07280:134:000000000-KNDHG:1:2109:28246:9059_CONS_SUB_SUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:1102:18943:5382_CONS_SUB_SUB",0,28,14,10,1,0,0,12,0,3,0,0,2,2,9,4,4,0,3,2,0,0,0,4,4,1,0,0,2,0,0,0,0,0,2,0,1,3,1,1,2,2,0,0,0,8,9,0,8,2,0,10,8,4,2,2,0,0,4,2,0,8,0
"M07280:134:000000000-KNDHG:1:1104:5330:15624_CONS_SUB_SUB",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:1116:26874:19244_CONS_SUB_SUB_CMP",0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,6,0,7,0,1,1,0,1,0,0,0,0
"M07280:134:000000000-KNDHG:1:1103:18243:10197_CONS_SUB_SUB_CMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"M07280:134:000000000-KNDHG:1:1116:14404:24675_CONS_SUB_SUB",0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0,1,2,0,0,5,0,0,1,0,0
"M07280:134:000000000-KNDHG:1:2106:10834:10680_CONS_SUB_SUB_CMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:2110:7379:17612_CONS_SUB_SUB_CMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:2109:21348:15771_CONS_SUB_SUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:2112:13600:9426_CONS_SUB_SUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:1110:7051:7813_CONS_SUB_SUB_CMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:1112:16060:3735_CONS_SUB_SUB",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:1113:28929:9931_CONS_SUB_SUB_CMP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,8,0,0,0,7,0,2,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:1116:7535:2029_CONS_SUB_SUB_CMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M07280:134:000000000-KNDHG:1:1103:4062:13074_CONS_SUB_SUB",0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,2,0,0
